Sitio,Tipo,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,num_species,num_ind
LG-C,C,4,51.25,33.75,3,39.3125,0.2824166702166825,0.392,405,50-75,25-50,25-50,0.6535583454191944,-0.8888291208388739,-1.1239629258589194,-0.3515778927006015,1.9547174127635414,4,15
LG-N,N,1,50.625,45,3,51.25,0.40083197237412954,0.322,317,50-75,25-50,50-75,0.6258452249028715,-0.4764789757616557,-0.6244892238384078,-0.668493176261707,1.1316785021262608,4,23
LG-N,N,2,52.5,30,3,46.375,0.49324427132415505,0.322,317,50-75,25-50,25-50,0.7089845864518404,-1.0262791691979465,-0.8284627775431194,-0.668493176261707,1.1316785021262608,5,21
LG-N,N,3,50,45.625,3,67.6875,0.11626529589762001,0.322,317,50-75,25-50,50-75,0.5981321043865486,-0.45357063436847694,0.06326775852491472,-0.668493176261707,1.1316785021262608,3,20
LG-N,N,4,50,26.875,3,42.0625,0.5085661285896411,0.322,317,50-75,25-50,25-50,0.5981321043865486,-1.1408208761638405,-1.0089009212049795,-0.668493176261707,1.1316785021262608,2,18
LL-C,C,1,1.25,46.25,7,61.375,0.641919525097984,0.233,268,1-5,25-50,50-75,-1.5634912958866407,-0.4306622929752981,-0.20085184306708365,-1.0714283225036838,0.6733954723395932,1,15
LL-C,C,2,11.875,56.25,7,41.8125,0.6776759266947177,0.233,268,10-25,50-75,25-50,-1.0923682471091507,-0.06412883068443757,-1.0193611034462469,-1.0714283225036838,0.6733954723395932,2,19
LL-C,C,3,16.25,46.875,7,46.1875,0.5882437960864427,0.233,268,10-25,25-50,25-50,-0.8983764034948901,-0.40775395158211936,-0.8363079142240698,-1.0714283225036838,0.6733954723395932,1,16
LL-C,C,4,10,25.625,7,16.5625,0.5275646248270758,0.233,268,10-25,25-50,10-25,-1.1755076086581195,-1.186637558950198,-2.0758395098142404,-1.0714283225036838,0.6733954723395932,3,8
LL-N,N,1,16.458333333333332,27.708333333333336,7,57.25,0.4596437212826327,0.231,298,10-25,25-50,50-75,-0.8891386966561159,-1.1102764209729354,-0.37344485004799344,-1.080483044891144,0.9539769191477571,1,13
LL-N,N,2,43.75,19.375,7,49.75,0.53476089005437355,0.231,298,25-50,10-25,25-50,0.3210008992233192,-1.415720972881986,-0.6872503172860113,-1.080483044891144,0.9539769191477571,1,16
LL-N,N,3,13.125,60,7,64,0.43099941768739664,0.231,298,10-25,50-75,50-75,-1.0369420060765049,0.07332121767463513,-0.0910199295337774,-1.080483044891144,0.9539769191477571,1,17
LL-N,N,4,32.5,44.375,7,63.375,0.4348743426496191,0.231,298,25-50,25-50,50-75,-0.17783527007049368,-0.49938731715483453,-0.11717038513694554,-1.080483044891144,0.9539769191477571,2,25
PM-C,C,1,3.125,25.625,2,41.625,0.5754597959889314,0.306,254,1-5,25-50,25-50,-1.4803519343376719,-1.186637558950198,-1.0272062401271973,-0.7409309553613883,0.5424574638291167,5,20
PM-C,C,2,8.125,19.375,2,57.9375,0.09060632482966403,0.306,254,5-10,10-25,50-75,-1.2586469702070884,-1.415720972881986,-0.34467934888450846,-0.7409309553613883,0.5424574638291167,5,21
PM-C,C,3,3.125,36.875,2,42,0.4461242348891219,0.306,254,1-5,25-50,25-50,-1.4803519343376719,-0.77428741387298,-1.0115159667652964,-0.7409309553613883,0.5424574638291167,4,17
PM-C,C,4,5,38.125,2,25.875,0.4847957067971154,0.306,254,5-10,25-50,25-50,-1.397212572788703,-0.7284707310866224,-1.6861977213270347,-0.7409309553613883,0.5424574638291167,2,23
PM-N,N,1,4.375,28.125,2,43.5,0.3117253246510487,0.298,289,1-5,25-50,25-50,-1.424925693305026,-1.095004193377483,-0.9487548733176928,-0.777149844911229,0.8698024851053079,1,15
PM-N,N,2,11.25,61.25,2,72.4375,0.10458201949612948,0.298,289,10-25,50-75,50-75,-1.1200813676254737,0.11913790046099271,0.26201122110899266,-0.777149844911229,0.8698024851053079,3,15
PM-N,N,3,4.375,58.75,2,68.1875,0.3512745815635367,0.298,289,1-5,50-75,50-75,-1.424925693305026,0.027504534888277567,0.08418812300744924,-0.777149844911229,0.8698024851053079,3,20
PM-N,N,4,19.375,40.625,2,60.125,0.3740740454651232,0.298,289,10-25,25-50,50-75,-0.7598108009132755,-0.6368373655139072,-0.25315275427341993,-0.777149844911229,0.8698024851053079,3,13
PV-N,N,1,28.333333333333336,74.375,10,68,0.34480512022627513,0.323,122,25-50,50-75,50-75,-0.36258940684597984,0.6002130697177472,0.07634298632649879,-0.6639658150679769,-0.6921009021268041,1,22
PV-N,N,2,20,72.5,10,69.5,0.3059739661709758,0.323,122,10-25,50-75,50-75,-0.7320976803969524,0.5314880455382108,0.13910407977410236,-0.6639658150679769,-0.6921009021268041,3,18
PV-N,N,3,10,80,10,74.3125,0.08117697905475967,0.323,122,10-25,75-95,50-75,-1.1755076086581195,0.8063881422563562,0.34046258791849715,-0.6639658150679769,-0.6921009021268041,4,22
PV-N,N,4,16.875,81.875,10,70.375,0.17505549647814572,0.323,122,10-25,75-95,50-75,-0.8706632829785672,0.8751131664358927,0.17571471761853777,-0.6639658150679769,-0.6921009021268041,5,26
VC-C,C,1,0.625,14.375,10,25,1.0298543586352393,0.317,150,0,10-25,25-50,-1.5912044164029635,-1.5989877040274163,-1.7228083591714702,-0.6911299822303574,-0.4302248851058512,2,2
VC-C,C,2,18.125,15.625,10,16.25,0.8461072248228565,0.317,150,10-25,10-25,10-25,-0.8152370419459213,-1.5531710212410585,-2.0889147376158244,-0.6911299822303574,-0.4302248851058512,0,0
VC-C,C,3,30.625,18.125,10,37.9375,0.18873151224539947,0.317,150,25-50,10-25,25-50,-0.2609746316194625,-1.4615376556683435,-1.1814939281858894,-0.6911299822303574,-0.4302248851058512,0,0
VC-C,C,4,38.75,30,10,40.6875,0.5340410970573046,0.317,150,25-50,25-50,25-50,0.0992959350927357,-1.0262791691979465,-1.0664319235319495,-0.6911299822303574,-0.4302248851058512,2,4
VC-N,N,1,27.5,96.875,10,89.6875,0.008323564630508207,0.309,32,25-50,95-100,75-95,-0.3995402342010772,1.4249133598721835,0.9837637957564337,-0.727348871780198,-1.5338452425512956,4,20
VC-N,N,2,40.625,78.75,10,83.9375,0.11832373705424429,0.309,32,25-50,75-95,75-95,0.18243529664170452,0.7605714594699987,0.7431796042072867,-0.727348871780198,-1.5338452425512956,1,13
VC-N,N,3,23.75,76.25,10,87.375,0.0414302463118235,0.309,32,10-25,75-95,75-95,-0.5658189572990149,0.6689380938972835,0.8870071100247116,-0.727348871780198,-1.5338452425512956,1,31
VC-N,N,4,44.375,72.5,10,85.25,0.0316751744790218,0.309,32,25-50,50-75,75-95,0.34871401973964217,0.5314880455382108,0.7980955609739399,-0.727348871780198,-1.5338452425512956,2,28
