Sitio,Transecto,num_ind,num_species,Tipo,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled
PV-N,1,22,1,N,28.333333333333336,74.375,10,68,0.34480512022627513,0.323,122,25-50,50-75,50-75,-0.0940132780777329,1.0620979355668272,0.5163799890885593,-0.44360207217059006,-0.7553755223052107
PV-N,2,18,3,N,20,72.5,10,69.5,0.3059739661709758,0.323,122,10-25,50-75,50-75,-0.4616741317717354,0.9873048508033186,0.5852439613481469,-0.44360207217059006,-0.7553755223052107
PV-N,3,22,4,N,10,80,10,74.3125,0.08117697905475967,0.323,122,10-25,75-95,50-75,-0.9028671562045382,1.2864771898573528,0.8061825390143236,-0.44360207217059006,-0.7553755223052107
PV-N,4,25,5,N,16.875,81.875,10,70.375,0.17505549647814572,0.323,122,10-25,75-95,50-75,-0.5995469519069863,1.3612702746208611,0.6254146118329063,-0.44360207217059006,-0.7553755223052107
VC-C,1,2,2,C,0.625,14.375,10,25,1.0298543586352393,0.317,150,0,10-25,25-50,-1.316485616610291,-1.331280776865445,-1.4577205490196168,-0.5020711132016707,-0.49213859786551606
VC-C,4,4,2,C,38.75,30,10,40.6875,0.5340410970573046,0.317,150,25-50,25-50,25-50,0.36556278903976996,-0.7080050705028742,-0.7375181724714305,-0.5020711132016707,-0.49213859786551606
VC-N,1,19,4,N,27.5,96.875,10,89.6875,0.008323564630508207,0.309,32,25-50,95-100,75-95,-0.13077936344713323,1.9596149527289293,1.512038254675096,-0.5800298345764452,-1.601494208004229
VC-N,2,12,1,N,40.625,78.75,10,83.9375,0.11832373705424429,0.309,32,25-50,75-95,75-95,0.4482864811209205,1.236615133348347,1.248059694346677,-0.5800298345764452,-1.601494208004229
VC-N,3,31,1,N,23.75,76.25,10,87.375,0.0414302463118235,0.309,32,10-25,75-95,75-95,-0.2962267476094343,1.1368910203303357,1.4058729641082317,-0.5800298345764452,-1.601494208004229
VC-N,4,28,2,N,44.375,72.5,10,85.25,0.0316751744790218,0.309,32,25-50,50-75,75-95,0.6137338652832216,0.9873048508033186,1.308315670073816,-0.5800298345764452,-1.601494208004229
